AnnoA;GruppoNOME;SESSO;Imm;note
2021/2022;Educazione e Formazione                                                                                                                                                                                                                                   ;M;980;dato provvisorio
2021/2022;Educazione e Formazione                                                                                                                                                                                                                                   ;F;14664;dato provvisorio
2021/2022;Arte e Design                                                                                                                                                                                                                                             ;M;3435;dato provvisorio
2021/2022;Arte e Design                                                                                                                                                                                                                                             ;F;8146;dato provvisorio
2021/2022;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5429;dato provvisorio
2021/2022;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;9327;dato provvisorio
2021/2022;Linguistico                                                                                                                                                                                                                                               ;M;3479;dato provvisorio
2021/2022;Linguistico                                                                                                                                                                                                                                               ;F;14638;dato provvisorio
2021/2022;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;9427;dato provvisorio
2021/2022;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;17613;dato provvisorio
2021/2022;Psicologico                                                                                                                                                                                                                                               ;M;2305;dato provvisorio
2021/2022;Psicologico                                                                                                                                                                                                                                               ;F;8897;dato provvisorio
2021/2022;Economico                                                                                                                                                                                                                                                 ;M;27339;dato provvisorio
2021/2022;Economico                                                                                                                                                                                                                                                 ;F;21172;dato provvisorio
2021/2022;Giuridico                                                                                                                                                                                                                                                 ;M;8188;dato provvisorio
2021/2022;Giuridico                                                                                                                                                                                                                                                 ;F;15609;dato provvisorio
2021/2022;Scientifico                                                                                                                                                                                                                                               ;M;14721;dato provvisorio
2021/2022;Scientifico                                                                                                                                                                                                                                               ;F;22128;dato provvisorio
2021/2022;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;7681;dato provvisorio
2021/2022;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;1287;dato provvisorio
2021/2022;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;5902;dato provvisorio
2021/2022;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;4794;dato provvisorio
2021/2022;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;30724;dato provvisorio
2021/2022;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;9702;dato provvisorio
2021/2022;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;3884;dato provvisorio
2021/2022;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3352;dato provvisorio
2021/2022;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;9979;dato provvisorio
2021/2022;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;24451;dato provvisorio
2021/2022;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;8582;dato provvisorio
2021/2022;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;3036;dato provvisorio
2020/2021;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1030;
2020/2021;Educazione e Formazione                                                                                                                                                                                                                                   ;F;15074;
2020/2021;Arte e Design                                                                                                                                                                                                                                             ;M;3810;
2020/2021;Arte e Design                                                                                                                                                                                                                                             ;F;8622;
2020/2021;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5641;
2020/2021;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;9306;
2020/2021;Linguistico                                                                                                                                                                                                                                               ;M;3934;
2020/2021;Linguistico                                                                                                                                                                                                                                               ;F;17531;
2020/2021;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;10726;
2020/2021;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;17673;
2020/2021;Psicologico                                                                                                                                                                                                                                               ;M;2218;
2020/2021;Psicologico                                                                                                                                                                                                                                               ;F;8806;
2020/2021;Economico                                                                                                                                                                                                                                                 ;M;28469;
2020/2021;Economico                                                                                                                                                                                                                                                 ;F;22345;
2020/2021;Giuridico                                                                                                                                                                                                                                                 ;M;8303;
2020/2021;Giuridico                                                                                                                                                                                                                                                 ;F;14791;
2020/2021;Scientifico                                                                                                                                                                                                                                               ;M;15393;
2020/2021;Scientifico                                                                                                                                                                                                                                               ;F;23026;
2020/2021;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;7131;
2020/2021;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;1103;
2020/2021;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;5758;
2020/2021;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;4537;
2020/2021;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;31139;
2020/2021;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;9714;
2020/2021;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4385;
2020/2021;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3683;
2020/2021;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;9575;
2020/2021;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;23731;
2020/2021;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;9189;
2020/2021;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;3628;
2019/2020;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1072;
2019/2020;Educazione e Formazione                                                                                                                                                                                                                                   ;F;14519;
2019/2020;Arte e Design                                                                                                                                                                                                                                             ;M;3282;
2019/2020;Arte e Design                                                                                                                                                                                                                                             ;F;7576;
2019/2020;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5174;
2019/2020;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;8733;
2019/2020;Linguistico                                                                                                                                                                                                                                               ;M;3965;
2019/2020;Linguistico                                                                                                                                                                                                                                               ;F;17262;
2019/2020;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;9998;
2019/2020;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;16025;
2019/2020;Psicologico                                                                                                                                                                                                                                               ;M;1981;
2019/2020;Psicologico                                                                                                                                                                                                                                               ;F;7537;
2019/2020;Economico                                                                                                                                                                                                                                                 ;M;26536;
2019/2020;Economico                                                                                                                                                                                                                                                 ;F;21914;
2019/2020;Giuridico                                                                                                                                                                                                                                                 ;M;7913;
2019/2020;Giuridico                                                                                                                                                                                                                                                 ;F;13116;
2019/2020;Scientifico                                                                                                                                                                                                                                               ;M;14884;
2019/2020;Scientifico                                                                                                                                                                                                                                               ;F;21211;
2019/2020;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;6344;
2019/2020;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;997;
2019/2020;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;5593;
2019/2020;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;4351;
2019/2020;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;31152;
2019/2020;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;9759;
2019/2020;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4460;
2019/2020;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3614;
2019/2020;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;8895;
2019/2020;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;22489;
2019/2020;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;8007;
2019/2020;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;3016;
2018/2019;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1160;
2018/2019;Educazione e Formazione                                                                                                                                                                                                                                   ;F;13374;
2018/2019;Arte e Design                                                                                                                                                                                                                                             ;M;3228;
2018/2019;Arte e Design                                                                                                                                                                                                                                             ;F;7211;
2018/2019;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;4693;
2018/2019;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;8112;
2018/2019;Linguistico                                                                                                                                                                                                                                               ;M;3698;
2018/2019;Linguistico                                                                                                                                                                                                                                               ;F;17168;
2018/2019;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;10178;
2018/2019;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;15222;
2018/2019;Psicologico                                                                                                                                                                                                                                               ;M;1792;
2018/2019;Psicologico                                                                                                                                                                                                                                               ;F;6611;
2018/2019;Economico                                                                                                                                                                                                                                                 ;M;25315;
2018/2019;Economico                                                                                                                                                                                                                                                 ;F;20582;
2018/2019;Giuridico                                                                                                                                                                                                                                                 ;M;7798;
2018/2019;Giuridico                                                                                                                                                                                                                                                 ;F;12745;
2018/2019;Scientifico                                                                                                                                                                                                                                               ;M;14490;
2018/2019;Scientifico                                                                                                                                                                                                                                               ;F;21038;
2018/2019;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;6047;
2018/2019;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;848;
2018/2019;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;5335;
2018/2019;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;4156;
2018/2019;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;29734;
2018/2019;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;8957;
2018/2019;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4574;
2018/2019;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3812;
2018/2019;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;8325;
2018/2019;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;21578;
2018/2019;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;6816;
2018/2019;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;2671;
2017/2018;Educazione e Formazione                                                                                                                                                                                                                                   ;M;978;
2017/2018;Educazione e Formazione                                                                                                                                                                                                                                   ;F;12856;
2017/2018;Arte e Design                                                                                                                                                                                                                                             ;M;3163;
2017/2018;Arte e Design                                                                                                                                                                                                                                             ;F;7359;
2017/2018;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;4605;
2017/2018;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;7804;
2017/2018;Linguistico                                                                                                                                                                                                                                               ;M;3853;
2017/2018;Linguistico                                                                                                                                                                                                                                               ;F;17435;
2017/2018;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;9799;
2017/2018;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;13963;
2017/2018;Psicologico                                                                                                                                                                                                                                               ;M;1869;
2017/2018;Psicologico                                                                                                                                                                                                                                               ;F;6722;
2017/2018;Economico                                                                                                                                                                                                                                                 ;M;24390;
2017/2018;Economico                                                                                                                                                                                                                                                 ;F;20001;
2017/2018;Giuridico                                                                                                                                                                                                                                                 ;M;8236;
2017/2018;Giuridico                                                                                                                                                                                                                                                 ;F;12723;
2017/2018;Scientifico                                                                                                                                                                                                                                               ;M;14341;
2017/2018;Scientifico                                                                                                                                                                                                                                               ;F;20414;
2017/2018;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;6134;
2017/2018;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;869;
2017/2018;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;5844;
2017/2018;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;4604;
2017/2018;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;29368;
2017/2018;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;8359;
2017/2018;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4631;
2017/2018;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3956;
2017/2018;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;8270;
2017/2018;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;20814;
2017/2018;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;5900;
2017/2018;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;2394;
2016/2017;Educazione e Formazione                                                                                                                                                                                                                                   ;M;980;
2016/2017;Educazione e Formazione                                                                                                                                                                                                                                   ;F;12162;
2016/2017;Arte e Design                                                                                                                                                                                                                                             ;M;3075;
2016/2017;Arte e Design                                                                                                                                                                                                                                             ;F;6988;
2016/2017;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;4696;
2016/2017;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;7514;
2016/2017;Linguistico                                                                                                                                                                                                                                               ;M;3878;
2016/2017;Linguistico                                                                                                                                                                                                                                               ;F;17516;
2016/2017;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;9823;
2016/2017;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;13743;
2016/2017;Psicologico                                                                                                                                                                                                                                               ;M;1871;
2016/2017;Psicologico                                                                                                                                                                                                                                               ;F;6634;
2016/2017;Economico                                                                                                                                                                                                                                                 ;M;23458;
2016/2017;Economico                                                                                                                                                                                                                                                 ;F;19266;
2016/2017;Giuridico                                                                                                                                                                                                                                                 ;M;8097;
2016/2017;Giuridico                                                                                                                                                                                                                                                 ;F;13118;
2016/2017;Scientifico                                                                                                                                                                                                                                               ;M;14058;
2016/2017;Scientifico                                                                                                                                                                                                                                               ;F;19179;
2016/2017;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;5804;
2016/2017;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;971;
2016/2017;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;6426;
2016/2017;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;4858;
2016/2017;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;28717;
2016/2017;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;8203;
2016/2017;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4893;
2016/2017;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;4230;
2016/2017;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;9021;
2016/2017;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;21505;
2016/2017;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;5684;
